Investment and Capital Stock (ICSD),,,,,,,,,,,,,,,,,,
,2013,,2014,,2015,,2016,,2017,,2018,,2019,,,,,
Russia,"3,865.54",,"3,892.59",,"3,816.51",,"3,827.43",,"3,896.11",,"3,994.87",,"4,048.25",,,,,
Rwanda,19.46,,20.66,,22.49,,23.83,,24.78,,26.90,,29.44,,,,,
Samoa,1.12,,1.15,,1.23,,1.27,,1.26,,1.27,,1.30,,,,,
San Marino,2.07,,2.05,,1.92,,1.97,,1.98,,2.01,,2.03,,,,,
São Tomé and Príncipe,0.70,,0.75,,0.78,,0.81,,0.84,,0.87,,0.88,,,,,
Saudi Arabia,"1,472.42",,"1,526.20",,"1,588.87",,"1,615.41",,"1,603.44",,"1,642.47",,"1,647.91",,,,,
Senegal,38.23,,39.79,,42.32,,45.02,,48.34,,51.42,,54.10,,,,,
Serbia,106.75,,105.06,,106.96,,110.53,,112.85,,117.92,,122.93,,,,,
Seychelles,1.87,,1.96,,2.05,,2.15,,2.24,,2.33,,2.44,,,,,
Sierra Leone,14.15,,14.79,,11.76,,12.51,,12.98,,13.43,,14.17,,,,,
Singapore,403.54,,419.43,,431.97,,445.98,,465.32,,481.31,,484.84,,,,,
Slovak Republic,144.39,,148.37,,155.52,,158.83,,163.66,,170.04,,174.12,,,,,
Slovenia,66.41,,68.25,,69.76,,71.98,,75.43,,78.74,,81.25,,,,,
Solomon Islands,1.21,,1.23,,1.24,,1.32,,1.39,,1.44,,1.46,,,,,
Somalia,3.94,,4.09,,4.20,,4.32,,4.38,,4.50,,4.63,,,,,
South Africa,691.52,,704.29,,712.70,,715.55,,725.67,,731.38,,732.49,,,,,
Spain,"1,649.03",,"1,671.85",,"1,735.97",,"1,788.59",,"1,841.78",,"1,886.54",,"1,923.33",,,,,
Sri Lanka,225.42,,236.61,,248.45,,259.60,,268.89,,277.78,,284.12,,,,,
St. Kitts and Nevis,1.03,,1.09,,1.10,,1.13,,1.11,,1.14,,1.17,,,,,
St. Lucia,1.99,,2.02,,2.02,,2.09,,2.16,,2.22,,2.26,,,,,
St. Vincent and the Grenadines,1.08,,1.09,,1.10,,1.12,,1.14,,1.16,,1.16,,,,,
Sudan,438.28,,469.15,,487.96,,505.41,,529.03,,543.93,,550.86,,,,,
Suriname,8.38,,8.40,,8.11,,7.66,,7.80,,8.00,,8.02,,,,,
Sweden,465.77,,478.60,,498.88,,508.08,,522.36,,532.97,,540.23,,,,,
Switzerland,541.41,,554.53,,563.60,,574.79,,584.29,,602.03,,608.73,,,,,
Syria,149.99,,127.95,,120.10,,115.32,,113.59,,116.66,,122.26,,,,,
Taiwan Province of China,952.91,,997.87,,"1,012.50",,"1,034.42",,"1,068.68",,"1,098.01",,"1,127.81",,,,,
Tajikistan,26.08,,27.83,,29.49,,31.54,,35.55,,38.08,,40.94,,,,,
Tanzania,94.53,,100.90,,107.11,,114.47,,122.22,,130.72,,139.84,,,,,
Thailand,"1,029.65",,"1,039.78",,"1,072.37",,"1,108.36",,"1,152.96",,"1,200.57",,"1,229.05",,,,,
Timor-Leste,3.67,,3.83,,3.95,,4.08,,3.91,,3.87,,4.59,,,,,
Togo,11.04,,12.29,,13.65,,15.14,,15.80,,16.57,,17.45,,,,,
Tonga,0.58,,0.59,,0.60,,0.64,,0.66,,0.66,,0.67,,,,,
Trinidad and Tobago,39.25,,38.89,,39.47,,37.26,,36.14,,36.17,,35.72,,,,,
Tunisia,116.13,,119.46,,120.86,,122.37,,124.71,,128.04,,129.37,,,,,
Turkey,"1,831.14",,"1,921.60",,"2,038.52",,"2,106.26",,"2,264.27",,"2,331.27",,"2,352.64",,,,,
Turkmenistan,106.42,,117.44,,125.01,,132.76,,141.35,,150.05,,154.55,,,,,
Tuvalu,0.04,,0.04,,0.04,,0.05,,0.05,,0.05,,0.05,,,,,
Uganda,66.97,,70.02,,74.00,,75.91,,79.34,,85.43,,91.12,,,,,
Ukraine,607.06,,567.28,,511.84,,524.33,,537.26,,555.56,,573.52,,,,,
United Arab Emirates,544.65,,567.99,,596.99,,615.26,,629.87,,637.36,,648.05,,,,,
United Kingdom,"2,773.07",,"2,852.46",,"2,919.86",,"2,970.15",,"3,021.84",,"3,059.69",,"3,098.27",,,,,
United States,"17,767.13",,"18,215.92",,"18,776.16",,"19,097.49",,"19,542.98",,"20,128.58",,"20,563.59",,,,,
Uruguay,65.54,,67.66,,67.91,,69.06,,70.85,,72.00,,72.16,,,,,
Uzbekistan,277.72,,297.65,,319.82,,339.31,,354.45,,373.76,,394.55,,,,,
Vanuatu,0.79,,0.81,,0.81,,0.84,,0.88,,0.91,,0.93,,,,,
Venezuela,20.25,,19.46,,18.25,,15.14,,12.77,,10.26,,6.67,,,,,
Vietnam,504.72,,534.92,,570.65,,606.09,,647.38,,693.18,,741.83,,,,,
West Bank and Gaza,27.44,,27.40,,28.41,,30.93,,31.37,,31.76,,32.06,,,,,
Yemen,83.13,,74.31,,51.68,,44.13,,39.73,,39.20,,40.02,,,,,
Zambia,46.06,,48.22,,49.63,,51.49,,53.31,,55.46,,56.26,,,,,
Zimbabwe,40.31,,41.27,,42.00,,42.32,,44.31,,46.45,,42.69,,,,,
