,solar,volcanic
2010.5,-0.007791696,0.136801577
2011.5,0.026576395,0.09815763
2012.5,0.040944534,0.133749723
2013.5,0.049212845,0.156764925
2014.5,0.059103616,0.138417929
2015.5,0.029197293,0.109649891
2016.5,-0.007587226,0.127189225
2017.5,-0.017466581,0.15061352
2018.5,-0.021467554,0.139916949
2019.5,-0.022172872,0.125925254
2020.5,-0.016968634,0.111933559
2021.5,0.019557242,0.097941864
2022.5,0.059393061,0.083950169
2023.5,0.081981598,0.069958474
2024.5,0.090837254,0.05596678
2025.5,0.068792264,0.041975085
2026.5,0.043807092,0.02798339
2027.5,0.018369461,0.012592525
2028.5,0.008160116,0
2029.5,-0.008818001,0
2030.5,-0.017896559,0
2031.5,-0.026829668,0
2032.5,-0.024838917,0
2033.5,-0.003013258,0
2034.5,0.035266691,0
2035.5,0.039830653,0
2036.5,0.056897242,0
2037.5,0.039762395,0
2038.5,0.039075926,0
2039.5,0.014535692,0
2040.5,-0.008593464,0
2041.5,-0.02882821,0
2042.5,-0.034399799,0
2043.5,-0.0317318,0
2044.5,-0.019316693,0
2045.5,0.01682137,0
2046.5,0.041364041,0
2047.5,0.068832484,0
2048.5,0.071466868,0
2049.5,0.049181045,0
2050.5,0.014659385,0
2051.5,-0.002360256,0
2052.5,-0.018032969,0
2053.5,-0.029269728,0
2054.5,-0.024963197,0
2055.5,-0.004048325,0
2056.5,0.021842171,0
2057.5,0.022610769,0
2058.5,0.026898921,0
2059.5,0.030125934,0
2060.5,0.00860209,0
2061.5,-0.009637951,0
2062.5,-0.024639645,0
2063.5,-0.029944314,0
2064.5,-0.031905513,0
2065.5,-0.025474896,0
2066.5,0.003100804,0
2067.5,0.028634689,0
2068.5,0.042782505,0
2069.5,0.037043063,0
2070.5,0.021257834,0
2071.5,-0.001255051,0
2072.5,-0.012149161,0
2073.5,-0.020263446,0
2074.5,-0.032093733,0
2075.5,-0.036911835,0
2076.5,-0.041748929,0
2077.5,-0.035389304,0
2078.5,-0.017487781,0
2079.5,0.001874213,0
2080.5,0.015484165,0
2081.5,0.017244936,0
2082.5,0.016161059,0
2083.5,0.001745605,0
2084.5,-0.004931546,0
2085.5,-0.026578221,0
2086.5,-0.038526645,0
2087.5,-0.039497942,0
2088.5,-0.037806968,0
2089.5,-0.021116776,0
2090.5,0.006614013,0
2091.5,0.027027658,0
2092.5,0.053545588,0
2093.5,0.042583878,0
2094.5,0.020317269,0
2095.5,0.002641506,0
2096.5,-0.018021162,0
2097.5,-0.025076162,0
2098.5,-0.031632041,0
2099.5,-0.022125771,0
2100.5,-0.000221138,0
2101.5,0.025622237,0
2102.5,0.024196173,0
2103.5,0.023171236,0
2104.5,0.012008559,0
2105.5,-0.009221864,0
2106.5,-0.021319541,0
2107.5,-0.031254379,0
2108.5,-0.032305672,0
2109.5,-0.025888205,0
2110.5,-0.005199178,0
2111.5,0.038034705,0
2112.5,0.039983308,0
2113.5,0.042482239,0
2114.5,0.017630634,0
2115.5,0.010305368,0
2116.5,-0.010862539,0
2117.5,-0.021945744,0
2118.5,-0.029072605,0
2119.5,-0.02882992,0
2120.5,-0.009055898,0
2121.5,0.021684521,0
2122.5,0.054406472,0
2123.5,0.035569385,0
2124.5,0.039971203,0
2125.5,0.013177201,0
2126.5,-0.010299586,0
2127.5,-0.022183343,0
2128.5,-0.031913228,0
2129.5,-0.029376923,0
2130.5,-0.009484937,0
2131.5,0.042039225,0
2132.5,0.050153356,0
2133.5,0.059849923,0
2134.5,0.042953206,0
2135.5,0.017411243,0
2136.5,-0.013093082,0
2137.5,-0.022465436,0
2138.5,-0.031643581,0
2139.5,-0.03608197,0
2140.5,-0.032761798,0
2141.5,-0.012195891,0
2142.5,0.009191444,0
2143.5,0.012097256,0
2144.5,0.016831186,0
2145.5,0.013259051,0
2146.5,-0.005189219,0
2147.5,-0.007281621,0
2148.5,-0.019727593,0
2149.5,-0.026449099,0
2150.5,-0.029583321,0
2151.5,-0.029113295,0
2152.5,-0.010930568,0
2153.5,0.024054528,0
2154.5,0.050721785,0
2155.5,0.049686675,0
2156.5,0.044735988,0
2157.5,0.028227151,0
2158.5,0.00436552,0
2159.5,-0.015244545,0
2160.5,-0.025885818,0
2161.5,-0.02470333,0
2162.5,-0.006764536,0
2163.5,0.029345905,0
2164.5,0.064378277,0
2165.5,0.053312978,0
2166.5,0.058677015,0
2167.5,0.024889181,0
2168.5,0.00079323,0
2169.5,-0.016425958,0
2170.5,-0.026191113,0
2171.5,-0.028758413,0
2172.5,-0.018486452,0
2173.5,0.012636993,0
2174.5,0.030849374,0
2175.5,0.046984483,0
2176.5,0.04769929,0
2177.5,0.031443136,0
2178.5,0.008144965,0
2179.5,-0.005922575,0
2180.5,-0.021484364,0
2181.5,-0.030833761,0
2182.5,-0.039050996,0
2183.5,-0.042348233,0
2184.5,-0.038584823,0
2185.5,-0.024510737,0
2186.5,0.008481895,0
2187.5,0.013822253,0
2188.5,0.023391318,0
2189.5,0.030279888,0
2190.5,0.007585609,0
2191.5,-0.01224359,0
2192.5,-0.025196366,0
2193.5,-0.029609521,0
2194.5,-0.031543054,0
2195.5,-0.023126773,0
2196.5,0.006552446,0
2197.5,0.037623661,0
2198.5,0.055240185,0
2199.5,0.047728439,0
2200.5,0.033159628,0
2201.5,0.00770708,0
2202.5,-0.002678551,0
2203.5,-0.011026445,0
2204.5,-0.024849445,0
2205.5,-0.02991525,0
2206.5,-0.035974475,0
2207.5,-0.029885844,0
2208.5,-0.011558001,0
2209.5,0.008821817,0
2210.5,0.024197284,0
2211.5,0.024320593,0
2212.5,0.022359207,0
2213.5,0.006887088,0
2214.5,-0.001732343,0
2215.5,-0.024764792,0
2216.5,-0.037892728,0
2217.5,-0.03903967,0
2218.5,-0.03666962,0
2219.5,-0.018838407,0
2220.5,0.008770244,0
2221.5,0.029441261,0
2222.5,0.059373101,0
2223.5,0.046526552,0
2224.5,0.024110735,0
2225.5,0.004806098,0
2226.5,-0.018855161,0
