"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","SSP4-34","World","Emissions|NOx","Mt NO2/yr","",123.3375,114.8485,"",117.99,"","","","","",97.54899999999999,"",82.7465,"",71.7237,"",60.3828,"",52.9923,"",48.036,"",44.7208,"",42.4084
"AIM/CGE 2.0","SSP4-34","World","Emissions|Sulfur","Mt SO2/yr","",119.3537,99.3086,"",98.2448,"","","","","",74.5798,"",58.3664,"",48.0519,"",37.2999,"",30.0385,"",25.0815,"",21.6575,"",19.0082
"AIM/CGE 2.0","SSP4-34","World","Emissions|BC","Mt BC/yr","",8.3348,7.664,"",7.415,"","","","","",6.4344,"",5.9018,"",5.4671,"",4.9538,"",4.5572,"",4.2454,"",3.9893,"",3.7752
"AIM/CGE 2.0","SSP4-34","World","Emissions|VOC","Mt VOC/yr","",210.2173,203.4982,"",204.2083,"","","","","",193.1446,"",186.1146,"",181.9182,"",173.9073,"",166.8325,"",159.8063,"",152.47799999999998,"",145.4974
"AIM/CGE 2.0","SSP4-34","World","Emissions|CH4","Mt CH4/yr","",350.2723,372.652,"",419.1605,"","","","","",276.8699,"",236.2887,"",212.9298,"",206.0903,"",204.0133,"",202.8215,"",199.053,"",195.8597
"AIM/CGE 2.0","SSP4-45","World","Emissions|OC","Mt OC/yr","",38.0662,36.5338,"",35.6652,"","","","","",33.7582,"",32.5299,"",30.5849,"",28.4606,"",26.8266,"",25.5307,"",24.3199,"",23.2233
"AIM/CGE 2.0","SSP4-45","World","Emissions|CO","Mt CO/yr","",950.7368,899.1494,"",885.3897,"","","","","",842.8018,"",822.9732,"",782.9979,"",734.5753,"",695.2335,"",664.4823,"",638.5576,"",615.845
"AIM/CGE 2.0","SSP4-45","World","Emissions|N2O","kt N2O/yr","",8950.4279,9594.0106,"",10937.1107,"","","","","",10240.5965,"",11182.2356,"",10960.4526,"",10072.6422,"",9490.2874,"",9210.7951,"",9024.5539,"",8878.2418
"AIM/CGE 2.0","SSP4-45","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,32269.222,"",38801.8776,"","","","","",41602.0046,"",41984.972,"",38443.3751,"",33495.1061,"",29304.3472,"",24721.5277,"",20723.0693,"",17041.8741
"AIM/CGE 2.0","SSP4-45","World","Emissions|NH3","Mt NH3/yr","",52.6096,54.1674,"",56.9904,"","","","","",58.9822,"",60.5146,"",60.7433,"",59.9937,"",58.8806,"",57.7688,"",56.5145,"",55.2015
"AIM/CGE 2.0","SSP4-45","World","Emissions|NOx","Mt NO2/yr","",123.3375,114.8485,"",117.99,"","","","","",107.6464,"",99.2389,"",86.6981,"",72.9232,"",62.9068,"",55.2789,"",49.986999999999995,"",46.1004
"AIM/CGE 2.0","SSP4-45","World","Emissions|Sulfur","Mt SO2/yr","",119.3537,99.3086,"",98.2448,"","","","","",83.7258,"",72.2428,"",61.3188,"",49.323,"",39.8359,"",31.9346,"",26.2608,"",21.996
